train_loss,valid_loss
0.023129,0.019876
0.020539,0.017939
0.018674,0.014473
0.013828,0.010551
0.011932,0.009007
0.011394,0.009060
0.009879,0.009501
0.009099,0.010555
0.009923,0.007522
0.008368,0.007092
0.007655,0.007208
0.007254,0.006939
0.007675,0.007318
0.006616,0.007070
0.006827,0.007198
0.006678,0.007518
0.006543,0.007518
0.006150,0.007238
0.007481,0.007447
0.006856,0.007289
