train_loss,valid_loss
1.057814,0.914204
0.984989,0.854471
0.924298,0.855992
0.888649,0.788715
0.863642,0.895496
0.808951,0.761863
0.834598,0.772205
0.802094,0.765869
0.805812,0.736608
0.819719,0.778990
