train_loss,valid_loss
0.026765,0.034328
0.025919,0.033476
0.026858,0.032017
0.022489,0.029620
0.021099,0.026616
0.020157,0.024673
0.017479,0.022758
0.016586,0.020709
0.014838,0.019288
0.012795,0.017480
0.011937,0.016484
0.011652,0.015859
0.010603,0.014897
0.010165,0.014347
0.011412,0.013998
0.009549,0.013663
0.009925,0.013551
0.010295,0.013403
0.009805,0.013670
0.009578,0.013412
