train_loss,valid_loss
1.076218,0.983657
1.049356,0.951693
0.985144,0.944335
0.964679,0.908999
0.920478,0.825529
0.810944,0.621283
0.710913,0.500161
0.668544,0.449052
0.624952,0.423730
0.640573,0.396139
