train_loss,valid_loss
0.580237,0.567638
0.573080,0.584145
0.576578,0.579418
0.577082,0.588177
0.576256,0.592056
0.574609,0.584551
0.571434,0.577107
0.568739,0.575155
0.566922,0.580376
0.566055,0.568362
